,Spain,France,Italy,Germany,Austria,Hungary,United Kingdom
2020-03-24,39885,22304,69176,32986,5283,187,15039
2020-03-25,49515,25233,74386,37323,5588,226,17732
2020-03-26,57786,29155,80589,43938,6909,261,20816
2020-03-27,65719,32964,86498,50871,7657,300,24017
2020-03-28,73235,37575,92472,57695,8271,343,26839
2020-03-29,80110,40174,97689,62095,8788,408,29696
2020-03-30,87956,44550,101739,66885,9618,447,33969
2020-03-31,95923,52128,105792,71808,10180,492,38484
2020-04-01,104118,56989,110574,77872,10711,525,43398
2020-04-02,112065,59105,115242,84794,11129,585,48263
2020-04-03,119199,64338,119827,91159,11524,623,53178
2020-04-04,126168,68605,124632,96092,11781,678,57198
2020-04-05,131646,70478,128948,100123,12051,733,60792
2020-04-06,136675,74390,132547,103374,12297,744,66067
2020-04-07,141942,78167,135586,107663,12639,817,71517
2020-04-08,148220,82048,139422,113296,12942,895,76646
2020-04-09,153222,86334,143626,118181,13244,980,81498
2020-04-10,158273,90676,147577,122171,13555,1190,85813
2020-04-11,163027,93790,152271,124908,13806,1310,89390
2020-04-12,166831,120633,156363,127854,13945,1410,92885
2020-04-13,170099,124298,159516,130072,14041,1458,97068
2020-04-14,172541,129257,162488,131359,14226,1512,101393
2020-04-15,177644,132473,165155,134753,14336,1579,106458
2020-04-16,184948,144944,168941,137698,14476,1652,111756
2020-04-17,190839,146923,172434,141397,14595,1763,116721
2020-04-18,191726,146906,175925,143342,14671,1834,121437
2020-04-19,198674,151808,178972,145184,14749,1916,125289
2020-04-20,200210,154188,181228,147065,14795,1984,130147
2020-04-21,204178,156921,183957,148291,14873,2098,134907
2020-04-22,208389,154715,187327,150648,14925,2168,140397
2020-04-23,213024,157026,189973,153129,15002,2284,145540
2020-04-24,202990,158636,192994,154999,15071,2443,150513
2020-04-25,205905,160292,195351,156513,15148,2443,154261
2020-04-26,207634,160847,197675,157770,15225,2500,157729
2020-04-27,209465,164589,199414,158758,15274,2583,162431
2020-04-28,210773,167605,201505,159912,15357,2649,167152
2020-04-29,212917,165093,203591,161539,15402,2727,172587
2020-04-30,213435,165764,205463,163009,15452,2775,177543
2020-05-01,215216,165764,207428,164077,15531,2863,182270
2020-05-02,216582,166976,209328,164967,15558,2942,185491
2020-05-03,217466,167272,210717,165664,15597,2998,188465
2020-05-04,218011,167886,211938,166152,15621,3035,191843
2020-05-05,219329,168935,213013,167007,15650,3065,195527
2020-05-06,220325,172465,214457,168162,15684,3111,199358
2020-05-07,221447,173040,215858,169430,15752,3150,203125
2020-05-08,222857,174318,217185,170588,15774,3178,206174
2020-05-09,223578,174758,218268,171324,15833,3213,208324
2020-05-10,224350,175027,219070,171879,15871,3263,210645
2020-05-11,227436,175479,219814,172576,15882,3284,214228
2020-05-12,228030,176207,221216,173171,15961,3313,217617
2020-05-13,228691,175981,222104,174098,15997,3341,220915
2020-05-14,229540,176712,223096,174478,16058,3380,223524
2020-05-15,230183,177319,223885,175233,16109,3417,226041
2020-05-16,230698,177207,224760,175752,16201,3473,228106
2020-05-17,230698,177240,225435,176369,16242,3509,229932
2020-05-18,231606,177554,225886,176551,16269,3535,232506
2020-05-19,232037,178428,226699,177778,16321,3556,235547
2020-05-20,232555,179069,227364,178473,16353,3598,238253
2020-05-21,233037,179306,228006,179021,16404,3641,240795
2020-05-22,234824,179645,228658,179710,16436,3678,242825
2020-05-23,235290,179964,229327,179986,16486,3713,244332
2020-05-24,235772,179859,229858,180328,16503,3741,245680
2020-05-25,235400,180166,230158,180600,16539,3756,247287
2020-05-26,236259,179887,230555,181200,16557,3771,248937
2020-05-27,236259,180044,231139,181524,16591,3793,250739
2020-05-28,237906,183309,231732,182196,16628,3816,252473
2020-05-29,238564,183816,232248,182922,16655,3841,253977
2020-05-30,239228,185616,232664,183189,16685,3867,255076
2020-05-31,239479,185851,232997,183410,16731,3876,256145
2020-06-01,239638,185952,233197,183594,16733,3892,257579
2020-06-02,239932,185112,233515,183879,16759,3921,259046
2020-06-03,240326,185440,233836,184121,16771,3931,260388
2020-06-04,240660,186118,234013,184472,16805,3954,261622
2020-06-05,240978,186670,234531,184924,16843,3970,262727
2020-06-06,241310,187199,234801,185450,16898,3990,263518
2020-06-07,241550,187492,234998,185750,16902,4008,264235
2020-06-08,241717,187590,235278,186109,16968,4014,265321
2020-06-09,241966,187925,235561,186506,16979,4017,266474
2020-06-10,242280,188322,235763,186522,17005,4027,267656
2020-06-11,242707,188680,236142,186691,17034,4039,268657
2020-06-12,243209,189244,236305,187226,17064,4053,269710
2020-06-13,243605,189637,236651,187267,17078,4064,270597
2020-06-14,243928,189928,236989,187518,17109,4069,271404
2020-06-15,244109,189996,237290,187682,17135,4076,272430
2020-06-16,244328,190223,237500,188252,17189,4077,273507
2020-06-17,244683,190534,237828,188604,17203,4078,274504
2020-06-18,245268,190735,238159,189817,17223,4079,275524
2020-06-19,245575,191304,238011,190299,17271,4081,276504
2020-06-20,245938,191740,238275,190670,17323,4086,277170
2020-06-21,246272,191745,238499,191272,17341,4094,277792
2020-06-22,246504,192070,238720,191768,17380,4102,278684
2020-06-23,246752,192452,238833,192480,17408,4107,279566
2020-06-24,247086,192265,239410,192871,17449,4114,280340
2020-06-25,247486,192010,239706,193371,17477,4123,281037
2020-06-26,247905,193346,239961,194036,17522,4127,281675
2020-06-27,248469,193152,240136,194458,17580,4138,282308
2020-06-28,248770,192429,240310,194693,17654,4142,282703
2020-06-29,248970,194109,240436,195042,17723,4145,283307
2020-06-30,249271,194373,240578,195418,17766,4155,283710
2020-07-01,249659,194985,240760,195893,17873,4157,283770
2020-07-02,250103,195458,240961,196370,17941,4166,283774
2020-07-03,250545,195904,241184,196780,18050,4172,284276
2020-07-04,250545,195546,241419,197198,18165,4174,284900
2020-07-05,250545,195535,241611,197523,18280,4183,285416
2020-07-06,251789,196748,241819,198064,18365,4189,285768
2020-07-07,252130,197089,241956,198343,18421,4205,286349
2020-07-08,252513,196796,242149,198699,18513,4210,286979
2020-07-09,253056,197964,242363,199001,18615,4220,287621
2020-07-10,253908,198450,242639,199332,18709,4223,288133
2020-07-11,253908,198199,242827,199709,18783,4229,288953
2020-07-12,253908,198183,243061,199919,18897,4234,289603
2020-07-13,255953,199571,243230,200180,18948,4247,290133
2020-07-14,256619,199509,243344,200456,19021,4258,291373
